"Cidade","População"
"Aroazes","5835"
"Baixa Grande do Ribeiro","11586"
"Beneditinos","10467"
"Bom Princípio do Piauí","5630"
"Elesbão Veloso","14602"
"Esperantina","39737"
"Francisco Ayres","4348"
"Fronteiras","11625"
"José de Freitas","39208"
"Manoel Emídio","5349"
"Pedro II","38742"
"Regeneração","17978"
"São Julião","6363"
"São Lourenço do Piauí","4573"
"São Miguel da Baixa Grande","2452"
"Teresina","864845"
"União","44485"
"Aiuaba","17399"
"Choró","13521"
"Frecheirinha","14072"
"Ipaumirim","12463"
"Ipueiras","38166"
"Irauçuba","24156"
"Jaguaribara","11401"
"Jijoca de Jericoacoara","19816"
"Maranguape","128978"
"Massapê","38737"
"Ocara","25703"
"Palmácia","13322"
"Porteiras","14996"
"Solonópole","18324"
"Apodi","35845"
"Coronel João Pessoa","4912"
"Extremoz","28583"
"Ipanguaçu","15491"
"Januário Cicco (Boa Saúde)","10181"
"Lajes Pintadas","4759"
"Luís Gomes","10116"
"São Paulo do Potengi","17579"
"Taipu","12279"
"Upanema","14659"
"Alagoa Nova","20849"
"Condado","33075"
"Cuité de Mamanguape","6353"
"Esperança","33007"
"Guarabira","58833"
"Pocinhos","18564"
"Queimadas","43967"
"Riacho dos Cavalos","8526"
"São Sebastião de Lagoa de Roça","11661"
"Serra da Raiz","3148"
"Amaraji","22829"
"Arcoverde","74338"
"Correntes","18207"
"Cupira","24107"
"Feira Nova","22131"
"Glória do Goitá","30604"
"Ibimirim","29235"
"Ipojuca","96204"
"Itaquitinga","16955"
"Jataúba","17150"
"Lagoa do Ouro","13145"
"Limoeiro","56250"
"Maraial","11345"
"Orobó","23884"
"Ouricuri","69459"
"Petrolândia","36548"
"Primavera","14966"
"Venturosa","18482"
"Vicência","32643"
"Xexéu","14725"
"Atalaia","47185"
"Barra de Santo Antônio","15932"
"Boca da Mata","27281"
"Campo Grande","9558"
"Canapi","17722"
"Coruripe","56933"
"Maceió","1018948"
"Marechal Deodoro","51901"
"Penedo","63683"
"Aquidabã","21563"
"Frei Paulo","15421"
"Gararu","11604"
"Macambira","6919"
"Ribeirópolis","18652"
"Rosário do Catete","10855"
"Almadina","5464"
"Amélia Rodrigues","25102"
"Aracatu","13135"
"Campo Formoso","71206"
"Canavieiras","31099"
"Coração de Maria","22605"
"Cruz das Almas","63239"
"Guaratinga","20843"
"Ibirataia","15312"
"Itagi","12351"
"Jaguarari","33570"
"Jussiape","6186"
"Medeiros Neto","22688"
"Mirante","8641"
"Nordestina","13130"
"Paulo Afonso","117782"
"Piripá","10707"
"Ribeira do Pombal","53807"
"Rio do Pires","11655"
"Santa Maria da Vitória","39845"
"Santanópolis","8943"
"São Felipe","21074"
"Sátiro Dias","17273"
"Ubaitaba","19056"
"Água Doce do Maranhão","12571"
"Alto Alegre do Maranhão","27053"
"Anajatuba","26803"
"Anapurus","15732"
"Axixá","12130"
"Bacabal","104949"
"Bacabeira","17055"
"Brejo","36397"
"Capinzal do Norte","10934"
"Cedral","10675"
"Cidelândia","14697"
"Coelho Neto","49435"
"Governador Edison Lobão","18296"
"Magalhães de Almeida","19826"
"Mirinzal","14962"
"Monção","33434"
"Pinheiro","83387"
"Pio XII","21485"
"Pirapemas","18625"
"Raposa","30761"
"Santa Inês","89044"
"São Benedito do Rio Preto","18663"
"Turilândia","25619"
"Campo Maior","46833"
"Luís Correia","30311"
"Monsenhor Hipólito","7749"
"Picos","78222"
"São Gonçalo do Piauí","5015"
"São José do Piauí","6705"
"Abaiara","11737"
"Baturité","35750"
"Boa Viagem","54470"
"Cariús","18699"
"Crateús","75074"
"Croatá","18063"
"Forquilha","24218"
"Ipu","41964"
"Marco","27361"
"Milagres","27512"
"Poranga","12336"
"Russas","78194"
"Ubajara","34792"
"Baraúna","28374"
"Carnaúba dos Dantas","8180"
"Ceará-Mirim","73497"
"Currais Novos","44786"
"Parnamirim","261469"
"Lagoa de Pedras","7544"
"Natal","884122"
"Ouro Branco","4812"
"São José de Mipibu","43899"
"São Tomé","11055"
"Bayeux","96880"
"Caaporã","21828"
"Cruz do Espírito Santo","17319"
"Itabaiana","119904"
"Mamanguape","44882"
"Mataraca","8434"
"Patos","107605"
"Pirpirituba","10579"
"Pombal","32801"
"Princesa Isabel","23345"
"São José de Piranhas","20251"
"São José do Sabugi","4141"
"Sapé","52625"
"Serra Branca","13699"
"Uiraúna","15242"
"Abreu e Lima","99990"
"Afogados da Ingazeira","37259"
"Afrânio","19635"
"Betânia","12719"
"Carnaubeira da Penha","12932"
"Chã Grande","21698"
"Escada","68875"
"Ferreiros","12123"
